first_name,last_name,dob,member_id,effective_date,expiry_date,phone_number
Jason,Bateman,2010-12-12,AB0000,,,Invalid number
Brent,Wilson,1988-01-01,349090,2019-09-30,2000-09-30,+13038873456
Antonio,Brown,1966-02-02,890887,2019-09-30,2000-09-30,+13033339987
Jerry,Jones,1999-06-06,jkj3343,2016-08-04,2050-12-12,Invalid number
Baker,Mayfield,1988-01-04,349093,2019-09-30,2050-12-13,+13039873345
Serena,Williams,1948-04-04,jk909009,2017-11-11,2050-12-14,+14445559876
Jake,Jabs,1988-01-06,349090,2019-09-30,2050-12-15,+14445559877
Mary,Poppins,1988-01-07,uu90990,2019-09-30,2050-12-16,+14445559878
Sally,JesseRephael,1988-01-08,349097,2019-09-30,2050-12-17,+14445559879
Bruce,Springsteen,1988-01-09,234324,2019-09-30,,+14445559880
Jason,Statham,1988-02-12,349099,2019-09-30,,+16065559886
Lenny,Bruce,1988-01-11,349100,2019-09-30,,+12025559882
Martin,Short,1988-01-12,349101,2019-09-30,,+14045559883
Benny,Samson,1988-01-13,349102,2019-09-30,,+14425559884
